42.356926, -71.10165, 0.0, 1311453277, 50, Boston, MA
42.356926, -71.10165, 0.0, 1311453285, 50, Boston, MA
42.356926, -71.10165, 0.0, 1311453292, 50, Boston, MA
42.89274, -74.09266, 0.0, 1311557267, 50, Schenectady, NY
41.77197, -81.030334, 0.0, 1311583984, 50, Willoughby, OH
41.77197, -81.030334, 0.0, 1311584008, 50, Willoughby, OH
41.77197, -81.030334, 0.0, 1311584026, 50, Willoughby, OH
41.617054, -88.800835, 0.0, 1311624931, 50, Marseilles, IL
41.617054, -88.800835, 0.0, 1311624941, 50, Marseilles, IL
41.33368, -89.136444, 0.0, 1311625989, 50, Marseilles, IL
41.33368, -89.136444, 0.0, 1311626008, 50, Marseilles, IL
41.33368, -89.136444, 0.0, 1311626037, 50, Marseilles, IL
41.33368, -89.136444, 0.0, 1311626152, 50, Marseilles, IL
41.482426, -89.232254, 0.0, 1311626240, 50, Sterling, IL
41.482426, -89.232254, 0.0, 1311626249, 50, Sterling, IL
41.412064, -89.398, 0.0, 1311626572, 50, Bradford, IL
41.412064, -89.398, 0.0, 1311626588, 50, Bradford, IL
